 ik      kx      ky      kz   gamma_raw  gamma_lowdin
173  -0.024  -0.014  -0.111      0.4854        0.4854
174  -0.147  -0.087  -0.055      0.2650        0.2650
175  -0.270  -0.007   0.000      0.1817        0.1817
176  -0.393  -0.080   0.056      0.1383        0.1383
177  -0.517  -0.154   0.111      0.1432        0.1432
178   0.099   0.213  -0.166      0.1747        0.1747
179  -0.024   0.140  -0.111      0.2650        0.2650
180  -0.147   0.066  -0.055      0.2216        0.2216
181  -0.135   0.073   0.000      0.2250        0.2250
182  -0.258   0.000   0.056      0.1860        0.1860
183  -0.382  -0.073   0.111      0.1360        0.1360
184   0.234   0.293  -0.166      0.1379        0.1379
185   0.111   0.220  -0.111      0.1817        0.1817
186  -0.012   0.147  -0.055      0.2451        0.2451
187  -0.135   0.227   0.000      0.1860        0.1860
188  -0.258   0.154   0.056      0.1580        0.1580
189  -0.382   0.080   0.111      0.1383        0.1383
190   0.234   0.447  -0.167      0.1220        0.1220
191   0.111   0.374  -0.111      0.1383        0.1383
192  -0.012   0.300  -0.056      0.1580        0.1580
193  -0.135   0.381  -0.000      0.1360        0.1360
194  -0.258   0.307   0.055      0.1383        0.1383
195  -0.382   0.234   0.111      0.1431        0.1431
196   0.234   0.601  -0.167      0.1409        0.1409
197   0.111   0.527  -0.111      0.1432        0.1432
198  -0.012   0.454  -0.056      0.1414        0.1414
199  -0.135  -0.388   0.000      0.1379        0.1379
200  -0.258  -0.461   0.056      0.1220        0.1220
201  -0.381  -0.535   0.111      0.1409        0.1409
202   0.235  -0.168  -0.166      0.1609        0.1609
203   0.111  -0.241  -0.111      0.1747        0.1747
204  -0.012  -0.315  -0.055      0.1834        0.1834
205  -0.135  -0.234   0.000      0.1817        0.1817
206  -0.258  -0.307   0.056      0.1383        0.1383
207  -0.381  -0.381   0.111      0.1432        0.1432
208   0.235  -0.014  -0.166      0.1747        0.1747
209   0.111  -0.087  -0.111      0.2650        0.2650
210  -0.012  -0.161  -0.055      0.2216        0.2216
211  -0.135  -0.080   0.000      0.2451        0.2451
212  -0.258  -0.154   0.056      0.1580        0.1580
213  -0.381  -0.227   0.111      0.1414        0.1414
214   0.235   0.140  -0.166      0.1834        0.1834
215   0.111   0.066  -0.111      0.2216        0.2216
216  -0.012  -0.007  -0.055      0.9851        0.9851
------------------------------------------------
max gamma (raw)    = 2.1146
max gamma (lowdin) = 2.1146   <-- reported spillage
JARVIS (VASP) reference for Ba3BiSb = 2.267
